       PADS LIBRARY (AXIS PADS Library - 2017 Part Types) DIRECTORY LISTING


Library: AXIS PADS Library - 2017
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Part Name    |ASSY |Logic Decal             |ATTRIB             |DETAIL                 |Last modified date&time |PCB Decal                                    |SECTION |TITLE                                                            
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|22900-102    |     |                        |                   |BMI-S-102              |09/02/16 20:01:43       |BMI-S-102                                    |        |Shield SMD 16.5 x 16.5 mm                                        
|3003-0010    |     |DIODE_SCHOTTKY_1        |                   |PMEG10010ELRX          |10/25/17 21:53:21       |SOD123                                       |PAA     |DIO Schottky 100V 1A Low Leak SOD123                             
|3003-0116    |     |DIO-H, DIO-V            |                   |BAV116WSQ-7            |10/25/17 21:53:52       |SOD323                                       |PIR     |Diode 85V 30V Low Leakage SOD323                                 
|3003-0170    |     |DUAL-SW-DIODE           |                   |BAV170-7-F             |10/25/17 21:53:52       |SOT-23, SOT23                                |PIR     |Diode Low Leakage Dual Common Cathode SOT23                      
|3005-5054    |     |DIODE_SCHOTTKY_1        |                   |BAT54WX-TP             |10/25/17 21:53:21       |SOD523                                       |        |Diode Schottky 30V 200mA SOD523                                  
|3024-1020    |     |DIOZBI-V                |                   |TV02W200B-G            |10/25/17 21:53:21       |SMF                                          |        |TVS 20V 200W BIDIR SOD123                                        
|3034-6812    |     |SK6812                  |                   |SK6812MINI             |10/25/17 21:54:13       |LED-PLCC-3537                                |        |LED RGB Serial Drive 3.5x3.7x0.95mm                              
|3223-0123    |     |MOSFET-N                |                   |BSS123WQ-7-F           |10/25/17 21:53:21       |SOT323                                       |        |MOSFET N-CH 100V 170mA SOT323                                    
|3223-0223    |     |MOSFET-P                |                   |BSS223PWH6327XTSA1     |10/25/17 21:54:13       |SOT723, SOT323                               |        |MOSFET PCH 20V 390mA Vgs < 1.2 SOT323                            
|3223-3025    |     |DMHC3025                |                   |DMHC3025LSD-13         |10/25/17 21:53:52       |SO8                                          |        |H-BRIDGE MOSFET 30V 4.2A SO8                                     
|3223-3099    |     |MOSFET-P                |                   |DMP3099L-7             |10/25/17 21:53:52       |SOT23                                        |ZGB     |MOSFET PCH 30V 3.8A Vgs < 2.1 SOT23                              
